id,fdc_id,nutrient_id,amount,data_points,derivation_id,min,max,median
35088566,2758990,2066,,,,,,
35088565,2758990,2066,,,,,,
35088574,2758991,2066,,,,,,
35088573,2758991,2066,,,,,,
35088580,2758992,2066,,,,,,
35088579,2758992,2066,,,,,,
35089444,2768188,1106,2.61,,49.0,,,
35089441,2768188,1106,2.61,,49.0,,,
