dataset,dataset_label,release_path,archive_path,extracted_path,extracted_csv_count,status,ready
foundation,Foundation Foods,C:\Github\Ceylon-Savour\data\raw\international\usda\foundation\release_2026_04,,C:\Github\Ceylon-Savour\data\raw\international\usda\foundation\release_2026_04\extracted,24,ready,True
fndds,FNDDS,C:\Github\Ceylon-Savour\data\raw\international\usda\fndds\release_2024_10,,C:\Github\Ceylon-Savour\data\raw\international\usda\fndds\release_2024_10\extracted,12,ready,True
