dataset,candidate_nutrient_key,non_null_rows,matched_rows,unmatched_rows,match_percent
foundation,id,17008,16975,33,99.806
foundation,nutrient_nbr,17008,0,17008,0.0
fndds,id,353015,0,353015,0.0
