dataset,source_nutrient_id,nutrient_master_id,name,unit_name,foods_with_nutrient,total_foods,completeness_percent
foundation,1128.0,1128,"Tocotrienol, alpha",MG,58,395,14.68
foundation,1131.0,1131,"Tocotrienol, delta",MG,58,395,14.68
foundation,1129.0,1129,"Tocotrienol, beta",MG,58,395,14.68
foundation,1130.0,1130,"Tocotrienol, gamma",MG,58,395,14.68
foundation,1317.0,1317,MUFA 22:1 c,G,58,395,14.68
foundation,2009.0,2009,MUFA 14:1 c,G,58,395,14.68
foundation,1105.0,1105,Retinol,UG,57,395,14.43
foundation,1414.0,1414,PUFA 20:3 n-9,G,57,395,14.43
foundation,1313.0,1313,"PUFA 20:2 n-6 c,c",G,56,395,14.18
foundation,2010.0,2010,MUFA 17:1 c,G,56,395,14.18
foundation,1215.0,1215,Methionine,G,54,395,13.67
foundation,1217.0,1217,Phenylalanine,G,54,395,13.67
foundation,1212.0,1212,Isoleucine,G,54,395,13.67
foundation,1214.0,1214,Lysine,G,54,395,13.67
foundation,1213.0,1213,Leucine,G,54,395,13.67
foundation,1219.0,1219,Valine,G,54,395,13.67
foundation,1211.0,1211,Threonine,G,54,395,13.67
foundation,1210.0,1210,Tryptophan,G,54,395,13.67
foundation,1221.0,1221,Histidine,G,54,395,13.67
foundation,1306.0,1306,TFA 18:2 t not further defined,G,54,395,13.67
foundation,1114.0,1114,Vitamin D (D2 + D3),UG,53,395,13.42
foundation,1170.0,1170,Pantothenic acid,MG,53,395,13.42
foundation,1110.0,1110,"Vitamin D (D2 + D3), International Units",IU,53,395,13.42
foundation,1106.0,1106,"Vitamin A, RAE",UG,52,395,13.16
foundation,1277.0,1277,MUFA 20:1,G,51,395,12.91
foundation,1111.0,1111,Vitamin D2 (ergocalciferol),UG,48,395,12.15
foundation,1330.0,1330,"Fatty acids, total trans-dienoic",G,48,395,12.15
foundation,1100.0,1100,"Iodine, I",UG,47,395,11.9
foundation,2014.0,2014,MUFA 22:1 n-9,G,46,395,11.65
foundation,2019.0,2019,TFA 18:3 t,G,44,395,11.14
foundation,1220.0,1220,Arginine,G,43,395,10.89
foundation,1225.0,1225,Glycine,G,43,395,10.89
foundation,1226.0,1226,Proline,G,43,395,10.89
foundation,1223.0,1223,Aspartic acid,G,43,395,10.89
foundation,1224.0,1224,Glutamic acid,G,43,395,10.89
foundation,1227.0,1227,Serine,G,43,395,10.89
foundation,1218.0,1218,Tyrosine,G,43,395,10.89
foundation,1222.0,1222,Alanine,G,43,395,10.89
foundation,1112.0,1112,Vitamin D3 (cholecalciferol),UG,42,395,10.63
foundation,1180.0,1180,"Choline, total",MG,39,395,9.87
foundation,1108.0,1108,"Carotene, alpha",UG,38,395,9.62
foundation,1120.0,1120,"Cryptoxanthin, beta",UG,38,395,9.62
foundation,1107.0,1107,"Carotene, beta",UG,38,395,9.62
foundation,2006.0,2006,SFA 21:0,G,37,395,9.37
foundation,1122.0,1122,Lycopene,UG,36,395,9.11
foundation,2033.0,2033,Total dietary fiber (AOAC 2011.25),G,34,395,8.61
foundation,2004.0,2004,SFA 7:0,G,33,395,8.35
foundation,2021.0,2021,PUFA 22:3,G,33,395,8.35
foundation,2007.0,2007,SFA 23:0,G,33,395,8.35
foundation,2003.0,2003,SFA 5:0,G,33,395,8.35
foundation,2015.0,2015,MUFA 22:1 n-11,G,33,395,8.35
foundation,2008.0,2008,MUFA 12:1,G,33,395,8.35
foundation,2005.0,2005,SFA 9:0,G,33,395,8.35
foundation,2013.0,2013,TFA 20:1 t,G,32,395,8.1
foundation,1281.0,1281,TFA 14:1 t,G,32,395,8.1
foundation,1050.0,1050,"Carbohydrate, by summation",G,30,395,7.59
foundation,1123.0,1123,Lutein + zeaxanthin,UG,29,395,7.34
foundation,1269.0,1269,PUFA 18:2,G,28,395,7.09
foundation,1196.0,1196,"Choline, from phosphotidyl choline",MG,27,395,6.84
foundation,1195.0,1195,"Choline, from phosphocholine",MG,27,395,6.84
foundation,1228.0,1228,Hydroxyproline,G,27,395,6.84
foundation,1197.0,1197,"Choline, from glycerophosphocholine",MG,27,395,6.84
foundation,1199.0,1199,"Choline, from sphingomyelin",MG,27,395,6.84
foundation,1198.0,1198,Betaine,MG,27,395,6.84
foundation,1194.0,1194,"Choline, free",MG,27,395,6.84
