dataset,dataset_label,food_count,food_nutrient_rows,nutrient_master_count,observed_nutrient_count,matched_observed_nutrient_count,nutrient_lookup_key,category_coverage_percent,ingredient_reference_coverage_percent,best_use
foundation,Foundation Foods,395,17008,477,235,234,id,100.0,0.0,"Basic foods, ingredients, and nutrient reference values"
fndds,FNDDS,5432,353015,477,65,65,nutrient_nbr,100.0,99.9816,"Prepared foods, commonly consumed foods, WWEIA categories, and ingredient references"
