dataset,dataset_label,release,storage_area,filename,extension,size_bytes,size_mb,relative_path
fndds,FNDDS,release_2024_10,extracted,food_attribute.csv,.csv,1608165,1.5337,data\raw\international\usda\fndds\release_2024_10\extracted\food_attribute.csv
fndds,FNDDS,release_2024_10,extracted,food_attribute_type.csv,.csv,331,0.0003,data\raw\international\usda\fndds\release_2024_10\extracted\food_attribute_type.csv
fndds,FNDDS,release_2024_10,extracted,food_nutrient.csv,.csv,19047892,18.1655,data\raw\international\usda\fndds\release_2024_10\extracted\food_nutrient.csv
fndds,FNDDS,release_2024_10,extracted,food_portion.csv,.csv,1692573,1.6142,data\raw\international\usda\fndds\release_2024_10\extracted\food_portion.csv
fndds,FNDDS,release_2024_10,extracted,food_update_log_entry.csv,.csv,333772,0.3183,data\raw\international\usda\fndds\release_2024_10\extracted\food_update_log_entry.csv
fndds,FNDDS,release_2024_10,extracted,input_food.csv,.csv,1982818,1.891,data\raw\international\usda\fndds\release_2024_10\extracted\input_food.csv
fndds,FNDDS,release_2024_10,extracted,measure_unit.csv,.csv,1955,0.0019,data\raw\international\usda\fndds\release_2024_10\extracted\measure_unit.csv
fndds,FNDDS,release_2024_10,extracted,nutrient.csv,.csv,21566,0.0206,data\raw\international\usda\fndds\release_2024_10\extracted\nutrient.csv
fndds,FNDDS,release_2024_10,extracted,survey_fndds_food.csv,.csv,293397,0.2798,data\raw\international\usda\fndds\release_2024_10\extracted\survey_fndds_food.csv
fndds,FNDDS,release_2024_10,extracted,wweia_food_category.csv,.csv,5119,0.0049,data\raw\international\usda\fndds\release_2024_10\extracted\wweia_food_category.csv
