search_term,product_code,product_name,label_tag
coconut cream,8997212610412,Organic Coconut Milk,en:kosher
coconut cream,8997212610412,Organic Coconut Milk,en:usda-organic
coconut cream,8997212610412,Organic Coconut Milk,en:vegan
coconut cream,8997212610412,Organic Coconut Milk,en:fr-bio-01
coconut cream,8997212610412,Organic Coconut Milk,en:id-bio-154
coconut cream,8997212610412,Organic Coconut Milk,en:no-additives
coconut cream,8997212610412,Organic Coconut Milk,en:organized-kashrut-kosher
coconut cream,8997212610412,Organic Coconut Milk,en:without-addition-of-dairy-products
coconut cream,8997212610412,Organic Coconut Milk,fr:ab-agriculture-biologique
coconut cream,8997212610412,Organic Coconut Milk,fr:triman
coconut cream,8886303210535,Lait de coco fluide,en:kosher
coconut cream,8886303210535,Lait de coco fluide,en:organized-kashrut-kosher
coconut cream,4056489842736,Lait de coco,en:vegetarian
coconut cream,4056489842736,Lait de coco,en:vegan
coconut cream,4056489842736,Lait de coco,en:european-vegetarian-union
coconut cream,4056489842736,Lait de coco,en:european-vegetarian-union-vegan
coconut cream,4056489842736,Lait de coco,en:nutriscore
coconut cream,4056489842736,Lait de coco,en:nutriscore-grade-c
coconut cream,4056489842736,Lait de coco,fr:triman
chili powder,3166291543200,Piment d'Espelette,en:pdo
chili powder,3162900031731,Piment d'Espelette A.O.P.,en:pdo
chili powder,3162900031731,Piment d'Espelette A.O.P.,fr:aoc
chili powder,3547400900006,Piment d'Espelette AOP,en:pdo
chili powder,3547400900006,Piment d'Espelette AOP,fr:triman
chili powder,3162050040843,Piment d'espelette AOP,en:pdo
curry powder,20249939,Curry en poudre,en:organic
curry powder,20249939,Curry en poudre,en:eu-organic
curry powder,20249939,Curry en poudre,fr:ab-agriculture-biologique
curry powder,3166296205523,Curry Madras,fr:triman
rice flour,3760130560726,Farine complète de Riz Bio,en:no-gluten
rice flour,3760130560726,Farine complète de Riz Bio,en:organic
rice flour,3760130560726,Farine complète de Riz Bio,en:crossed-grain-trademark
rice flour,3760130560726,Farine complète de Riz Bio,en:eu-organic
rice flour,3760130560726,Farine complète de Riz Bio,en:de-oko-007
rice flour,3760130560726,Farine complète de Riz Bio,en:eu-agriculture
rice flour,3760130560726,Farine complète de Riz Bio,en:fr-bio-01
rice flour,3760130560726,Farine complète de Riz Bio,fr:ab-agriculture-biologique
rice flour,3760130560726,Farine complète de Riz Bio,fr:afdiag
rice flour,7613039587003,Nestle lion wild cereal,en:no-colorings
rice flour,0076808003888,Gluten Free Spaghetti,en:no-gluten
rice flour,0076808003888,Gluten Free Spaghetti,en:kosher
rice flour,0076808003888,Gluten Free Spaghetti,en:no-gmos
rice flour,0076808003888,Gluten Free Spaghetti,en:certified-gluten-free
rice flour,0076808003888,Gluten Free Spaghetti,en:made-in-usa
rice flour,0076808003888,Gluten Free Spaghetti,en:non-gmo-project
rice flour,0076808003888,Gluten Free Spaghetti,en:orthodox-union-kosher
rice flour,3760275575463,Farine de riz gluant,en:organic
rice flour,3760275575463,Farine de riz gluant,en:eu-organic
rice flour,3760275575463,Farine de riz gluant,en:fr-bio-10
rice flour,5011766010085,Ryžová múka bezlepková,en:no-gluten
