search_term,code,product_name,brands,countries,categories,categories_tags,ingredients_text,allergens,allergens_tags,labels,labels_tags,nova_group,energy_kcal_100g,fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,source_dataset
tea,6923818812082,Green Tea,green tea,"France, Maroc",Thés verts chinois,"['en:beverages-and-beverages-preparations', 'en:plant-based-foods-and-beverages', 'en:beverages', 'en:hot-beverages', 'en:plant-based-beverages', 'en:teas', 'en:green-teas', 'en:chinese-green-teas']",100% soluble coffee,,[],,[],1.0,0.5,0.5,0.5,0.2,0.2,0.5,0.1,0.04,open_food_facts
tea,3168930159896,Ice Tea Pêche,Lipton,"France, La Réunion","Thés glacés, Boissons avec sucre ajouté","['en:beverages-and-beverages-preparations', 'en:beverages', 'en:tea-based-beverages', 'en:iced-teas', 'en:sweetened-beverages']","Eau, sucre, fructose, acidifiants (acide citrique, acide malique), extrait de thé noir⁽¹⁾ (0,12%), jus de pêche à base de concentré (0,1%), correcteur d'acidité (citrate trisodique), arômes, antioxydant (acide ascorbique), édulcorant (Glycosides de stéviol issus de Stevia),⁽¹⁾ Certifié Rainforest Alliance.",,[],"Point Vert, metal recycles forever, Sans colorants, Vérifié Rainforest Alliance, Triman","['en:green-dot', 'en:metal-recycles-forever', 'en:no-colorings', 'en:rainforest-alliance', 'fr:triman']",4.0,13.0,0.0,3.1,3.0,,0.0,0.03,0.012,open_food_facts
tea,6111175000741,41022,,"ألمانيا, المغرب","en:Teas, en:Thea","['en:beverages-and-beverages-preparations', 'en:plant-based-foods-and-beverages', 'en:beverages', 'en:hot-beverages', 'en:plant-based-beverages', 'en:teas', 'en:thea']",,,[],,[],,,,,,,,,,open_food_facts
tea,3168930170549,Ice tea,Lipton,France,"Boissons édulcorées, Thés glacés saveur pêche, Boisson au thé aromatisée sucrée","['en:beverages-and-beverages-preparations', 'en:beverages', 'en:artificially-sweetened-beverages', 'en:still-soft-drinks', 'en:tea-based-beverages', 'en:iced-teas', 'en:peach-flavored-iced-teas', 'en:still-soft-drink-with-tea-extract', 'en:still-soft-drink-with-tea-extract-flavoured-with-sugar']","Eau,sucre,fructose,acidifiants (acide citrique, acide malique),extrait de thé noir⁽¹⁾ (0,12%),jus de pêche à base de concentré (0,1%),correcteur d'acidité (citrate trisodique),arômes,antioxydant (acide ascorbique),édulcorant (Glycosides de stéviol issus de Stevia),⁽¹⁾ Certifié Rainforest Alliance.,Plus d'informations sur ra.org.,People and nature = l'humain et la nature.",,[],"Sans colorants, Vérifié Rainforest Alliance, Triman, Faible en calories","['en:no-colorings', 'en:rainforest-alliance', 'fr:triman', 'fr:faible en calories']",4.0,13.0,0.0,3.1,3.0,,0.0,0.03,0.012,open_food_facts
tea,6111252422428,saveur fruit rouge ice tea,Lipton Ice tea,Maroc,"Boissons édulcorées, Thés glacés, Boisson au thé aromatisée, Boissons avec sucre ajouté","['en:beverages-and-beverages-preparations', 'en:beverages', 'en:artificially-sweetened-beverages', 'en:still-soft-drinks', 'en:tea-based-beverages', 'en:iced-teas', 'en:still-soft-drink-with-tea-extract', 'en:sweetened-beverages']","Eau, sucre, acidulant (acide-citrique), extrait de thé noir (0,12%), jus de canneberge à base de concentré (0,1%), jus de framboise à base de concentré (0,1%), jus de mûre à base de concentré (0,09), arome (nature identique), Stabilisant (Polyphosphates) Conservateur (Sorbate de Potassium), antioxydant (acide ascorbique), édulcorant (Glycosides de Steviol).. مشروب غير غازى بخلاصات الشاي الأسود و عصير التوت - محلى بالسكر والمحليات. المكونات: ماء سكر مادة 190,12، عصير التوت البري من مركز (0,1%)، عصير ) وت العليق عن مركز (0,1%)، عصير ون 7/10/2024, 17:34 .(%0 LEICA ـود XIAOMI ر التوت الأسود من عصير التوت ثرت (بوني",,[],Point Vert,['en:green-dot'],4.0,25.0,0.0,,6.0,,0.0,0.0675,0.027,open_food_facts
ginger beer,5060108450386,Premium Ginger Beer,CUVECO AS,Nederland,"Frisdranken, Gemberbieren, Gesuikerde dranken","['en:beverages-and-beverages-preparations', 'en:beverages', 'en:carbonated-drinks', 'en:non-alcoholic-beverages', 'en:sodas', 'en:non-alcoholic-beers', 'en:ginger-beer', 'en:sweetened-beverages']","Eau de source gazéifiée, sucre, gingembre, arôme naturel de gingembre avec autres arômes naturels, acidifiant (acide tartrique), antioxydant (acide ascorbique).",,[],"Glutenvrij, Veganistisch","['en:vegetarian', 'en:no-gluten', 'en:vegan']",,41.0,0.0,10.2,10.2,,0.0,0.0,0.0,open_food_facts
ginger beer,5060108450348,Premium Ginger Beer,"Multibev, ฟีเวอร์ทรี","Belgique, France, Allemagne, Maroc, Suisse, Thaïlande","Sodas, Limonades, Boissons avec sucre ajouté","['en:beverages-and-beverages-preparations', 'en:beverages', 'en:carbonated-drinks', 'en:non-alcoholic-beverages', 'en:sodas', 'en:lemonade', 'en:sweetened-beverages']","Eau de source gazéifiée, sucre de canne, gingembre, arômes naturels: acide tartrique, antioxydant: acide ascorbique.",,[],Sans gluten,['en:no-gluten'],4.0,36.0,0.0,7.9,7.9,0.0,0.0,0.02,0.008,open_food_facts
ginger beer,3124480193698,Ginger Beer,Schweppes,France,"Boissons édulcorées, Sodas, Bière de gingembre, Boissons avec sucre ajouté","['en:beverages-and-beverages-preparations', 'en:beverages', 'en:carbonated-drinks', 'en:artificially-sweetened-beverages', 'en:non-alcoholic-beverages', 'en:sodas', 'en:non-alcoholic-beers', 'en:ginger-beer', 'en:sweetened-beverages']","Eau gazéifiée, sucre, correcteurs d'acidité: acide tartrique et citrate de sodium, stabilisant : gomme d'acacia, arome naturel de gingembre avec autres arômes naturels, antioxydant : acide ascorbique, conservateur : sorbate de potassium, édulcorants : acesulfame K et sucralose, extrait de gingembre,",,[],,[],4.0,18.0,0.0,4.3,4.3,0.0,0.0,0.03,0.012,open_food_facts
ginger beer,3770009345095,Ginger Beer,La French,France,"Sodas, Bière de gingembre","['en:beverages-and-beverages-preparations', 'en:beverages', 'en:carbonated-drinks', 'en:non-alcoholic-beverages', 'en:sodas', 'en:non-alcoholic-beers', 'en:ginger-beer']","eau gazéifiée, sirop de sucre de canne*, jus de citron concentré* (1,8%), extrait de gingembre* (0,2%), arôme naturel de gingembre. *Ingrédients issus de l'agriculture biologique.",,[],"Agriculture UE/Non UE, FR-BIO-01, Point Vert, Sans édulcorants, AB Agriculture Biologique, Triman","['en:organic', 'en:eu-organic', 'en:non-eu-agriculture', 'en:eu-agriculture', 'en:eu-non-eu-agriculture', 'en:fr-bio-01', 'en:green-dot', 'en:without-sweeteners', 'fr:ab-agriculture-biologique', 'fr:triman']",4.0,26.0,0.0,6.5,6.4,0.02,0.01,0.01,0.004,open_food_facts
ginger beer,9311493002220,Bundaberg Non Alcoholic Ginger Beer,Bundaberg,"France, Allemagne, Suisse","Sodas, Bière de gingembre, Boissons avec sucre ajouté","['en:beverages-and-beverages-preparations', 'en:beverages', 'en:carbonated-drinks', 'en:non-alcoholic-beverages', 'en:sodas', 'en:non-alcoholic-beers', 'en:ginger-beer', 'en:sweetened-beverages']","EAU GAZÉIFIÉE, SUCRE, RACINE DE GINGEMBRE, AROMES, ACIDE CITRIQUE LEVURE CONSERNATEURS: E202, E211,  ANTIOXYIDANT ACIDE ASCORBIQUE.",,[],"Fabriqué en Australie, Point Vert","['en:australian-made', 'en:green-dot']",4.0,45.0,0.5,10.8,10.8,,0.5,0.0,0.0,open_food_facts
