search_term,code,product_name,brands,countries,categories,categories_tags,ingredients_text,allergens,allergens_tags,labels,labels_tags,nova_group,energy_kcal_100g,fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,source_dataset
chili powder,3166291543200,Piment d'Espelette,Ducros,"France, Allemagne","en:Chili powders, Piments d'Espelette, en:groceries","['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:condiments', 'en:herbs-and-spices', 'en:spices', 'en:chili-peppers', 'en:chili-powders', 'fr:piments-d-espelette', 'en:groceries']",Piment d'Espelette.,,[],AOP,['en:pdo'],1.0,,,,,,,,,open_food_facts
chili powder,3162900031731,Piment d'Espelette A.O.P.,Albert menes,France,"en:Chili powders, Piments d'Espelette, en:groceries","['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:condiments', 'en:herbs-and-spices', 'en:spices', 'en:chili-peppers', 'en:chili-powders', 'fr:piments-d-espelette', 'en:groceries']",,,[],"AOP, AOC","['en:pdo', 'fr:aoc']",,344.0,12.0,23.0,23.0,,14.0,,,open_food_facts
chili powder,3760101440286,Piment d espelette,,France,"en:Chili powders, Piments d'Espelette","['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:condiments', 'en:herbs-and-spices', 'en:spices', 'en:chili-peppers', 'en:chili-powders', 'fr:piments-d-espelette']",Piment d’espelette,,[],,[],1.0,347.0,11.0,22.0,20.0,,14.0,0.16,0.064,open_food_facts
chili powder,3547400900006,Piment d'Espelette AOP,Lidl,France,"en:Chili powders, Piments d'Espelette","['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:condiments', 'en:herbs-and-spices', 'en:spices', 'en:chili-peppers', 'en:chili-powders', 'fr:piments-d-espelette']",,,[],"AOP, Triman","['en:pdo', 'fr:triman']",,347.0,11.0,23.0,20.0,37.0,14.0,0.6,0.24,open_food_facts
chili powder,3162050040843,Piment d'espelette AOP,Sainte Lucie,France,"en:Chili powders, Piments d'Espelette, en:groceries","['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:condiments', 'en:herbs-and-spices', 'en:spices', 'en:chili-peppers', 'en:chili-powders', 'fr:piments-d-espelette', 'en:groceries']",Piment d'espelette AOP,,[],AOP,['en:pdo'],1.0,,,,,,,,,open_food_facts
curry powder,3166296552337,Curry,Ducros,France,"Mélanges d'épices, Curry en poudre","['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:condiments', 'en:herbs-and-spices', 'en:spices', 'en:spice-mix', 'en:curry-powders']","Curcuma (38%), graine de coriandre (115) fenugrec (9.9%), graine de MOUTARDE, oignon déshydraté cardamome, gingembre, anis, fenouil, girofle, ail déshydrat cannelle, piment de la Jamaïque, plantes aromatiques Kurkuma (20%) karian.",moutarde,['en:mustard'],,[],1.0,,,,,,,,,open_food_facts
curry powder,20249939,Curry en poudre,"Kania, LIDL","France, Allemagne",Curry en poudre,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:condiments', 'en:herbs-and-spices', 'en:spices', 'en:curry-powders']","Curcuma, graines de coriandre, fenugrec, gingembre, cumin, sel iodé (sel, iodure de potassium), amidon de pomme de terre, piment de Cayenne,",,[],AB Agriculture Biologique,"['en:organic', 'en:eu-organic', 'fr:ab-agriculture-biologique']",3.0,312.0,9.5,25.6,1.8,33.5,13.6,4.7,1.88,open_food_facts
curry powder,3166296205523,Curry Madras,Ducros,"France, Germany","Spice Mix, Curry powders, Groceries","['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:condiments', 'en:herbs-and-spices', 'en:spices', 'en:spice-mix', 'en:curry-powders', 'en:groceries']","roasted cumin, roasted coriander seed (12%), coconut milk powder (coconut extract, maltodextrin, milk protein), salt, brown sugar, cayenne pepper (8%),, dehydrated garlic, ginger, mustard seed (4%), red pepper, turmeric, cinnamon, coriander leaf, black pepper, cloves,","milk, mustard","['en:milk', 'en:mustard']",Triman,['fr:triman'],4.0,368.0,17.0,31.0,12.0,19.0,13.0,10.3,4.12,open_food_facts
curry powder,5010204914275,Medium Curry Powder,Tesco,"Ireland, Switzerland, United Kingdom",Curry powders,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:condiments', 'en:herbs-and-spices', 'en:spices', 'en:curry-powders']","Coriander Seed, Cumin Seed. Onion, Salt, Chilli Powder, Fenugreek, Garlic Powder, Ginger, Paprika, Turmeric, Cinnamon, Black Pepper, Clove, Bay Leaf, Cardamom.",,[],,[],3.0,310.0,12.1,19.4,3.1,35.8,13.0,8.2,3.28,open_food_facts
curry powder,4088600132068,Medium curry powder,"Aldi, Stonemill","Ireland, United Kingdom","Curry powders, Groceries","['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:condiments', 'en:herbs-and-spices', 'en:spices', 'en:curry-powders', 'en:groceries']","CORIANDER SEEDS (27%), Salt, Maltodextrin, Turmeric Powder, GINGER POWDER (7%), CUMIN (6%), Fenugreek, Mustard Flour, Garlic Powder, Allspice, Cayenne Pepper, Black Pepper",mustard,['en:mustard'],,[],4.0,300.0,10.5,26.3,1.9,26.2,12.0,12.29,4.916,open_food_facts
